kind,key,source,line
post_effect,BGM_LOWER,nel/AbsorbManagerContainer.cs,737
post_effect,ZOOM2,nel/AbsorbManagerContainer.cs,764
custom_effect,gachaB,nel/AbsorbManagerContainer.cs,822
custom_effect,_gacha_ev_attach,nel/AbsorbManagerContainer.cs,827
post_effect,MAGICSELECT,nel/ActiveSelector.cs,99
post_effect,BGM_LOWER,nel/ActiveSelector.cs,102
timeline,ev200_bossspider_grawl,nel/AlicePVV200.cs,122
custom_effect,almapvv105_targetter,nel/AlmaPVV105.cs,116
custom_effect,almapvv105_targetter_N,nel/AlmaPVV105.cs,117
custom_effect,flatten,nel/BakeAnimatorFlatten.cs,74
particle_once,ui_magic_selector_learn_unlock,nel/ButtonSkinMagSel.cs,144
particle_once,ui_magic_selector_learn_unlock_s,nel/ButtonSkinMagSel.cs,145
particle_once,ui_saved,nel/ButtonSkinSvdRow.cs,163
particle_once,watersurface_lava,nel/CameraRenderBinderWaterSurface.cs,148
timeline,ui_damage_press_return_1,nel/CityCasterAI.cs,259
timeline,pr_web_trapped,nel/CityCasterAI.cs,325
timeline,cc_ep_tension_orgasm,nel/CityCasterEpContainer.cs,67
timeline,cc_ep_tension0,nel/CityCasterEpContainer.cs,82
timeline,cc_ep_tension1,nel/CityCasterEpContainer.cs,95
programmatic_drawer,dash_afterimage,nel/EffectItemNel.cs,475
programmatic_drawer,comet_afterimage,nel/EffectItemNel.cs,486
programmatic_drawer,comet_afterimage_l,nel/EffectItemNel.cs,499
programmatic_drawer,postHamonMagic,nel/EffectItemNel.cs,542
programmatic_drawer,postPopSummon,nel/EffectItemNel.cs,571
programmatic_drawer,postPopSummonR20,nel/EffectItemNel.cs,604
programmatic_drawer,cane_swing,nel/EffectItemNel.cs,667
programmatic_drawer,cane_swing_mg,nel/EffectItemNel.cs,674
programmatic_drawer,mp_crack,nel/EffectItemNel.cs,727
programmatic_drawer,stone_crack,nel/EffectItemNel.cs,733
programmatic_drawer,summon_activate,nel/EffectItemNel.cs,809
programmatic_drawer,summon_activate_event,nel/EffectItemNel.cs,884
programmatic_drawer,summon_activate_rect,nel/EffectItemNel.cs,917
programmatic_drawer,summon_activate_sudden,nel/EffectItemNel.cs,931
programmatic_drawer,summon_activate_sudden_puppetrevenge,nel/EffectItemNel.cs,995
programmatic_drawer,summoner_activate_sudden_puppetrevenge_phase,nel/EffectItemNel.cs,1001
programmatic_drawer,summon_activate_smnc,nel/EffectItemNel.cs,1050
programmatic_drawer,mg_fireball_explode_sphere,nel/EffectItemNel.cs,1175
programmatic_drawer,mg_itembomb_explode_sphere,nel/EffectItemNel.cs,1181
programmatic_drawer,fox_chaserball_explode_sphere,nel/EffectItemNel.cs,1187
programmatic_drawer,post_fireball_sphere,nel/EffectItemNel.cs,1221
programmatic_drawer,post_fox_chaserball_sphere,nel/EffectItemNel.cs,1227
programmatic_drawer,worm_trap_player,nel/EffectItemNel.cs,1274
programmatic_drawer,flash,nel/EffectItemNel.cs,1328
programmatic_drawer,irisspot,nel/EffectItemNel.cs,1344
programmatic_drawer,flashhold,nel/EffectItemNel.cs,1367
programmatic_drawer,radiation,nel/EffectItemNel.cs,1384
programmatic_drawer,flash_ui,nel/EffectItemNel.cs,1404
programmatic_drawer,rectflash,nel/EffectItemNel.cs,1419
programmatic_drawer,tb_flash_add,nel/EffectItemNel.cs,1441
programmatic_drawer,spot_darken,nel/EffectItemNel.cs,1464
programmatic_drawer,worm_egg_splash,nel/EffectItemNel.cs,1508
programmatic_drawer,magic_whittearrow_bow_remain,nel/EffectItemNel.cs,1545
programmatic_drawer,arrow_afterimage,nel/EffectItemNel.cs,1643
programmatic_drawer,fake_layer_dissolve,nel/EffectItemNel.cs,1673
programmatic_drawer,debug_gameover_title,nel/EffectItemNel.cs,1708
programmatic_drawer,bite_triangle_ui,nel/EffectItemNel.cs,1714
programmatic_drawer,bite_triangle,nel/EffectItemNel.cs,1720
programmatic_drawer,pr_wheel_cyclone,nel/EffectItemNel.cs,1789
programmatic_drawer,pr_wheel_cyclone_b,nel/EffectItemNel.cs,1795
programmatic_drawer,ui_dmg_cut,nel/EffectItemNel.cs,1877
programmatic_drawer,mover_stunned,nel/EffectItemNel.cs,2120
programmatic_drawer,shield_bush,nel/EffectItemNel.cs,2144
programmatic_drawer,ser_decline,nel/EffectItemNel.cs,2211
programmatic_drawer,ser_awake,nel/EffectItemNel.cs,2261
programmatic_drawer,powerbomb_explode,nel/EffectItemNel.cs,2275
programmatic_drawer,flashbang_self_explode,nel/EffectItemNel.cs,2326
programmatic_drawer,post_powerbomb_sphere,nel/EffectItemNel.cs,2341
programmatic_drawer,treasure_skill_assign,nel/EffectItemNel.cs,2376
programmatic_drawer,ui_ser_cocoon,nel/EffectItemNel.cs,2406
programmatic_drawer,post_bigenemy_passing,nel/EffectItemNel.cs,2486
programmatic_drawer,NpcLoveUp,nel/EffectItemNel.cs,2565
programmatic_drawer,NpcHkds,nel/EffectItemNel.cs,2571
programmatic_drawer,NpcHkds,nel/EffectItemNel.cs,2575
custom_effect,ui_damage_counter,nel/EffectUIPicture.cs,127
custom_effect,spell_registeration,nel/EfSpellRegisteration.cs,45
timeline,boss_die_explode_pre,nel/EnemyAnimatorSpineBossSpider.cs,394
timeline,enemy_nattr_fire,nel/EnemyAttr.cs,393
timeline,enemy_nattr_ice,nel/EnemyAttr.cs,397
timeline,enemy_nattr_thunder,nel/EnemyAttr.cs,401
timeline,enemy_nattr_acme,nel/EnemyAttr.cs,405
timeline,enemy_nattr_slimy,nel/EnemyAttr.cs,413
timeline,enemy_nattr_invisible,nel/EnemyAttr.cs,428
timeline,enemy_nattr_splash_fire,nel/EnemyAttr.cs,814
timeline,enemy_attr_splash_acme,nel/EnemyAttr.cs,851
timeline,enemy_attr_splash_acme,nel/EnemyAttr.cs,943
timeline,stain_basic_fire,nel/EnemyAttr.cs,1136
timeline,stain_basic_web,nel/EnemyAttr.cs,1141
timeline,stain_basic_ice,nel/EnemyAttr.cs,1146
timeline,enemy_nattr_splash_ice,nel/EnemyAttr.cs,1206
timeline,enemy_nattr_splash_ice,nel/EnemyAttr.cs,1222
timeline,enemy_nattr_splash_thunder,nel/EnemyAttr.cs,1327
timeline,hit_tackle_hard_enemy,nel/EnemyShieldDrawer.cs,46
particle_once,mbox_unikira,nel/EnemySummoner.cs,901
particle_once,ui_enhancer_act,nel/ENHA.cs,24
post_effect,ZOOM2_EATEN,nel/EpManager.cs,843
post_effect,BGM_LOWER,nel/EpManager.cs,846
post_effect,SND_VOLUME_REDUCE,nel/EpManager.cs,847
timeline,ep_orgasm,nel/EpManager.cs,859
timeline,ep_orgasm_ui,nel/EpManager.cs,906
timeline,ep_smoke,nel/EpManager.cs,1315
custom_effect,epmanager_draweffect,nel/EpManager.cs,1526
particle_once,ui_status_fear_assigned,nel/EpManagerFearFill.cs,16
timeline,bench_cure_fear,nel/EpManagerFearFill.cs,292
custom_effect,ep_orgasm_cutin,nel/EpOrgasmCutin.cs,156
custom_effect,FCUTIN,nel/FallenCutin.cs,405
timeline,player_absorbed_basic,nel/GOFullbokkoNoel.cs,61
timeline,player_absorbed_fatal,nel/GOFullbokkoNoel.cs,65
post_effect,IRISOUT,nel/IrisOutManager.cs,134
effect,spot_darken,nel/IxiaPVV104.cs,264
timeline,puzz_ground_bump,nel/M2BoxMover.cs,157
timeline,puzz_box_activate,nel/M2BoxMover.cs,1239
timeline,puzz_box_deactivate,nel/M2BoxMover.cs,1265
timeline,revert_breakable_wall,nel/M2BreakableWallMover.cs,201
timeline,player_absorbed_basic,nel/M2CastableEventBase.cs,356
timeline,absorb_atk_basic,nel/M2CastableEventBase.cs,359
timeline,puzzle_lit_activate,nel/M2CImgDrawerBarrierLit.cs,134
timeline,puzzle_lit_deactivate,nel/M2CImgDrawerBarrierLit.cs,153
timeline,checkpoint_registered_bonfire,nel/M2CImgDrawerCheckBonfire.cs,42
timeline,checkpoint_registered_glacier,nel/M2CImgDrawerCheckGlacier.cs,45
timeline,get_coin,nel/M2CImgDrawerCoin.cs,126
timeline,general_circle_t,nel/M2CImgDrawerFootBell.cs,175
particle_once,grazia_plant_aura_big,nel/M2CImgDrawerPlantAura.cs,16
particle_once,grazia_plant_aura_sml,nel/M2CImgDrawerPlantAura.cs,17
timeline,hits,nel/M2CityCaster.cs,1719
timeline,player_absorbed_basic,nel/M2CityCaster.cs,1910
timeline,absorb_atk_basic,nel/M2CityCaster.cs,1913
timeline,mana_get_pr,nel/M2CityCaster.cs,2012
custom_effect,cc_rescued,nel/M2CityCaster.cs,2366
timeline,breakable_fire_burn_start,nel/M2LpBreakable.cs,612
timeline,breakable_fire_burn_end,nel/M2LpBreakable.cs,640
post_effect,M2D_VAR_0,nel/M2LpEffector.cs,151
timeline,matoate_complete,nel/M2LpMatoate.cs,378
timeline,itembox_appear,nel/M2LpPuzzTreasure.cs,469
post_effect,SUMMONER_ACTIVATE,nel/M2LpSummon.cs,546
post_effect,SUMMONER_ACTIVATE,nel/M2LpSummon.cs,547
post_effect,FINAL_ALPHA,nel/M2LpSummon.cs,548
post_effect,FINAL_ALPHA,nel/M2LpSummon.cs,549
post_effect,JAMMING,nel/M2LpSummon.cs,555
timeline,summoner_activate_,nel/M2LpSummon.cs,558
post_effect,SUMMONER_ACTIVATE,nel/M2LpSummon.cs,561
timeline,summoner_activate_event,nel/M2LpSummon.cs,566
timeline,summoner_activate_smnc,nel/M2LpSummon.cs,569
post_effect,SUMMONER_ACTIVATE,nel/M2LpSummon.cs,572
post_effect,SUMMONER_ACTIVATE,nel/M2LpSummon.cs,573
post_effect,SHOTGUN,nel/M2LpSummon.cs,574
post_effect,FINAL_ALPHA,nel/M2LpSummon.cs,575
post_effect,FINAL_ALPHA,nel/M2LpSummon.cs,576
timeline,summoner_activate_smnc_td,nel/M2LpSummon.cs,582
timeline,summoner_activate,nel/M2LpSummon.cs,586
timeline,summoner_defeated,nel/M2LpSummon.cs,1794
timeline,pr_mana_fall_absorbed_init,nel/M2ManaContainer.cs,92
timeline,appear_weed,nel/M2ManaWeed.cs,126
timeline,break_weed,nel/M2ManaWeed.cs,235
timeline,matoate_appeared,nel/M2MatoateTarget.cs,85
timeline,matoate_disappeared,nel/M2MatoateTarget.cs,112
timeline,matoate_defeated,nel/M2MatoateTarget.cs,302
